,Active Status,Customer,Balance,Balance Total,Company,Mr./Ms./...,First Name,M.I.,Last Name,Primary Contact,Main Phone,Fax,Alt. Phone,Secondary Contact,Job Title,Main Email,Bill to 1,Bill to 2,Bill to 3,Bill to 4,Bill to 5,Ship to 1,Ship to 2,Ship to 3,Ship to 4,Ship to 5,Customer Type,Terms,Rep,Sales Tax Code,Tax item,Resale Num,Account No.,Credit Limit,Job Status,Job Type,Job Description,Start Date,Projected End,End Date
,Active,ASB Capital Management,0,12500,,,,,,,,,,,,,ASB Capital Management,7501 Wisconsin Avenue,Suite 1300 West,"Bethesda, MD 20814",,,,,,,,,,,,,,,,,,,,
,Active,ASB Capital Management LLC,0,0,,,,,,,,,,,,,Aaron Duncan - Investment Mgr.,ASB Capital Management LLC,7501 Wisconsin Avenue,Suite 200,"Bethesda, MD 20814",,,,,,,,,,,,,,,,,,,
,Active,ASB Capital Management:13-7232M1 Venice Portfolio Venice CA,8000,8000,,,,,,,,,,,,,ASB Capital Management,7501 Wisconsin Avenue,Suite 1300 West,"Bethesda, MD 20814",,,,,,,,,,,,,,,,,,,,
,Active,ASB Capital Management:13-7233M1 Robertson Boulevard LA CA,4500,4500,,,,,,,,,,,,,ASB Capital Management,7501 Wisconsin Avenue,Suite 1300 West,"Bethesda, MD 20814",,,,,,,,,,,,,,,,,,,,
,Active,Aspen Square Management,0,0,,,,,,,,,,,,,Mr. Fred Anthony - Vice President,Aspen Square Management,"380 Union Street, Ste. 300","West Springfield, MA 01089",,,,,,,,,,,,,,,,,,,,
,Active,Aspen Square Management:11-4347 Lakeview Estates Phase I,0,0,,,,,,,,,,,,,Mr. Fred Anthony - Vice President,Aspen Square Management,"380 Union Street, Ste. 300","West Springfield, MA 01089",,,,,,,,,,,,,,,,,,,,
,Active,Assurant Inc.,0,0,Assurant Inc.,Mr.,Ryan,,Steppe,Ryan Steppe,212-859-7066,,,,,,Mr. Ryan Steppe,Assurant Inc.,One Chase Manhattan Plaza,"New York, NY  10005",,,,,,,,,,,,,,,,,,,,
,Active,AT&T Investment Management Corp.,0,7500,AT&T Investment Management Corp.,Mr.,Avneet,S.,Kochar,Avneet S. Kochar,,,,,,,Mr. Steve Burger,AT&T Investment Management Corp.,1 AT&T Way Room 3D107,"Bedminster, New Jersey 07921",,Mail invoices to,Ms. Kate Wolf / PwC,,,,,,,,,,,,,,,,,
,Active,"AT&T Investment Management Corp.:13-5050M2 5025 W. 73rd St., Bedford Pk.",3500,3500,AT&T Investment Management Corp.,Mr.,Avneet,S.,Kochar,,,,,,,,Mr. Steve Burger,AT&T Investment Management Corp.,1 AT&T Way Room 3D107,"Bedminster, New Jersey 07921",,Mail invoices to,Ms. Kate Wolf / PwC,,,,,,,,,,,,,,,,,
,Active,AT&T Investment Management Corp.:13-6811M1 Broadstone at Dunwoody GA,4000,4000,AT&T Investment Management Corp.,Mr.,Avneet,S.,Kochar,,,,,,,,Mr. Steve Burger,AT&T Investment Management Corp.,1 AT&T Way Room 3D107,"Bedminster, New Jersey 07921",,,,,,,,,,,,,,,,,,,,
,Active,Atlantic Coast Bank,0,0,Atlantic Coast Bank,,,,,,,,,,,,Atlantic Coast Bank,Attn: Luciano Noir-Jones,"10151 Deerwood Park Blvd.,","Bldg. 100, Suite 501","Jacksonville, FL  32256",,,,,,,,,,,,,,,,,,,
,Active,Atlas Partners,0,0,Atlas Partners,Mr.,Roger,F,Ruttenberg,Roger F Ruttenberg,312.516.5700,312.516.5710,,,,,Atlas Partners,Roger F Ruttenberg,55 East Monroe Street,Suite 1890,"Chicago, Illinois 60603",Atlas Partners,Roger F Ruttenberg,55 East Monroe Street,Suite 1890,"Chicago, Illinois 60603",,,,Non,,,,,,,,,,
,Active,Babson Capital Management LLC,0,0,Babson Capital Management LLC,Ms.,Diane,M.,"Norton, MAI","Diane M. Norton, MAI",,,,,,,Babson Capital,"Diane M. Norton, MAI","1500 Main Street, Suite 2100","Springfield, MA  01115",,,,,,,,,,Non,,,,,,,,,,
,Active,Baker Donelson Bearman Caldwell & Berkowi,0,0,,,,,,,,,,,,,Mr. Kevin Stine,Baker Donelson Bearman Caldwell &,"          Berkowitz, P.C.",On behalf of our Client Wells Fargo; 3414,"Peachtree Rd., Suite 1600 Atlanta GA",,,,,,,,,,,,,,,,,,,
,Active,Baker Donelson Bearman Caldwell & Berkowi:13-7264 Midtown West Apt. - Consulting,0,0,,,,,,,,,,,,,Mr. Kevin Stine,Baker Donelson Bearman Caldwell &,"          Berkowitz, P.C.",On behalf of our Client Wells Fargo; 3414,"Peachtree Rd., Suite 1600 Atlanta GA",,,,,,,,,,,,,,,,,,,
,Active,Bank of America,0,160650,Bank of America,Ms.,Dee,,Evans,Dee Evans,816-979-5064,816-979-5055,,,,,Ms. Molly Alford,Bank of America,4820 Irvine Boulevard,CA6-523-01-03 (1st FLoor),"Irvine, CA   92620",,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:05-1573 Hollywood Citizens News Bldg - CA,0,0,Bank of America,Ms.,Dee,,Evans,Dee Evans,816-979-5064,816-979-5055,,,,,Mr. Bryan Vick,"Bank of America, N.A.","333 S. Hope St., 19th Floor",CA9-193-19-11,"Los Angeles, CA 90071",,,,,,,,,Non,,,,,,,,,,
,Active,"Bank of America:08-0590 GX Slauson, Los Angeles, CA",0,0,Bank of America,Ms.,Dee,,Evans,Dee Evans,816-979-5064,816-979-5055,,,,,Mr. Bryan Vick,"Bank of America, N.A.",333 S. Hope Street,CA9-193-11-13 (11th FLoor),"Los Angeles, CA 90071",,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:10-2456A Apartment Site,0,0,Bank of America,Ms.,Dee,,Evans,Dee Evans,816-979-5064,816-979-5055,,,,,"Bank of America, N.A.",c/o Snell & Wilmer L.L.P.,"600 Anton Boulevard, Suite 1400","Costa Mesa, CA 92626",Attn: Gregory M. Carpenter,,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:10-2456B Hubbs Site,0,0,Bank of America,Ms.,Dee,,Evans,Dee Evans,816-979-5064,816-979-5055,,,,,"Bank of America, N.A.",c/o Snell & Wilmer L.L.P.,"600 Anton Boulevard, Suite 1400","Costa Mesa, CA 92626",Attn: Gregory M. Carpenter,,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:10-2456C Office site - Lot 11,0,0,Bank of America,Ms.,Dee,,Evans,Dee Evans,816-979-5064,816-979-5055,,,,,"Bank of America, N.A.",c/o Snell & Wilmer L.L.P.,"600 Anton Boulevard, Suite 1400","Costa Mesa, CA 92626",Attn: Gregory M. Carpenter,,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:10-2456D Lot 20,0,0,Bank of America,Ms.,Dee,,Evans,Dee Evans,816-979-5064,816-979-5055,,,,,"Bank of America, N.A.",c/o Snell & Wilmer L.L.P.,"600 Anton Boulevard, Suite 1400","Costa Mesa, CA 92626",Attn: Gregory M. Carpenter,,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:10-2456E Commercial Site -PA1,0,0,Bank of America,Ms.,Dee,,Evans,Dee Evans,816-979-5064,816-979-5055,,,,,"Bank of America, N.A.",c/o Snell & Wilmer L.L.P.,"600 Anton Boulevard, Suite 1400","Costa Mesa, CA 92626",Attn: Gregory M. Carpenter,,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:10-2456F Morger Site,0,0,Bank of America,Ms.,Dee,,Evans,Dee Evans,816-979-5064,816-979-5055,,,,,"Bank of America, N.A.",c/o Snell & Wilmer L.L.P.,"600 Anton Boulevard, Suite 1400","Costa Mesa, CA 92626",Attn: Gregory M. Carpenter,,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:10-2457 Golf Course,0,0,Bank of America,Ms.,Dee,,Evans,Dee Evans,816-979-5064,816-979-5055,,,,,"Bank of America, N.A.",c/o Snell & Wilmer L.L.P.,"600 Anton Boulevard, Suite 1400","Costa Mesa, CA 92626",Attn: Gregory M. Carpenter,,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:10-2458 Hotel Pad - Lot 9,0,0,Bank of America,Ms.,Dee,,Evans,Dee Evans,816-979-5064,816-979-5055,,,,,"Bank of America, N.A.",c/o Snell & Wilmer L.L.P.,"600 Anton Boulevard, Suite 1400","Costa Mesa, CA 92626",Attn: Gregory M. Carpenter,,,,,,,,,Non,,,,,,,,,,
,Active,"Bank of America:11-4483 Northern Centre, Naperville, IL",0,0,Bank of America,Ms.,Dee,,Evans,Dee Evans,816-979-5064,816-979-5055,,,,,"Michelle Schultz, AVP","Bank of America, NA",690 E. Highway 50,FL0-052-01-01,"Clermont, FL 34711",,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:12-5552 45600 Fremont Blvd Fremont CA,0,0,Bank of America,Ms.,Dee,,Evans,Dee Evans,816-979-5064,816-979-5055,,,,,"Susan Sullivan, Market Manager","Bank of America, NA",5150 Mission Street,CA5-123-01-01,"San Francisco, CA 94112-3463",,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:12-5579 1635 Lancaster South Elgin IL,0,0,Bank of America,Ms.,Dee,,Evans,Dee Evans,816-979-5064,816-979-5055,,,,,Shannon Whitte,"Bank of America, NA",19321 State Route 410 E,"Bonney Lake, WA 98391-6531",,,,,,,,,,Non,,,,,,,,,,
,Active,"Bank of America:12-6320 Main Street & 11-Mile Rd., Royal",0,0,Bank of America,Ms.,Dee,,Evans,Dee Evans,816-979-5064,816-979-5055,,,,,*Ms. Molly Alford,Bank of America,4820 Irvine Boulevard,CA6-523-01-03 (1st FLoor),"Irvine, CA   92620",,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:12-6436 Spanish Fort Town Center AL,5000,5000,Bank of America,Ms.,Dee,,Evans,,,,,,,,Ms. Molly Alford,Bank of America,4820 Irvine Boulevard,CA6-523-01-03 (1st FLoor),"Irvine, CA   92620",,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:13-6991 Walgreens 3424 W Belmont IL,2450,2450,Bank of America,Ms.,Dee,,Evans,,,,,,,,Ms. Molly Alford,Bank of America,4820 Irvine Boulevard,CA6-523-01-03 (1st FLoor),"Irvine, CA   92620",,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:13-7018 Ohio Industrials,34900,34900,Bank of America,Ms.,Dee,,Evans,,,,,,,,Susan Sullivan,"Bank of America, NA",5150 Mission Street,CA5-123-01-01,"San Francisco, CA 94112",,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:13-7076 Lake Saint Louis SC MO,9500,9500,Bank of America,Ms.,Dee,,Evans,,816-979-5064,816-979-5055,,,,,Ms. Molly Alford,Bank of America,4820 Irvine Boulevard,CA6-523-01-03 (1st FLoor),"Irvine, CA   92620",,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:13-7212 The Deloitt Building St Louis MO,8500,8500,Bank of America,Ms.,Dee,,Evans,,816-979-5064,816-979-5055,,,,,Ms. Molly Alford,Bank of America,4820 Irvine Boulevard,CA6-523-01-03 (1st FLoor),"Irvine, CA   92620",,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:13-7218 Statesboro Crossing GA,4400,4400,Bank of America,Ms.,Dee,,Evans,,816-979-5064,816-979-5055,,,,,Ms. Molly Alford,Bank of America,4820 Irvine Boulevard,CA6-523-01-03 (1st FLoor),"Irvine, CA   92620",,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:13-7229 IHOP San Diego CA,4000,4000,Bank of America,Ms.,Dee,,Evans,,816-979-5064,816-979-5055,,,,,Ms. Molly Alford,Bank of America,4820 Irvine Boulevard,CA6-523-01-03 (1st FLoor),"Irvine, CA   92620",,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:13-7235 7774 Cherry Avenue Fontana CA,4500,4500,Bank of America,Ms.,Dee,,Evans,,816-979-5064,816-979-5055,,,,,Ms. Molly Alford,Bank of America,4820 Irvine Boulevard,CA6-523-01-03 (1st FLoor),"Irvine, CA   92620",,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:13-7240 Summit Rancho Bernardo CA,8800,8800,Bank of America,Ms.,Dee,,Evans,,816-979-5064,816-979-5055,,,,,Ms. Molly Alford,Bank of America,4820 Irvine Boulevard,CA6-523-01-03 (1st FLoor),"Irvine, CA   92620",,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:13-7262 77 Metro - Hartz A Property NJ,6900,6900,Bank of America,Ms.,Dee,,Evans,,816-979-5064,816-979-5055,,,,,Ms. Molly Alford,Bank of America,4820 Irvine Boulevard,CA6-523-01-03 (1st FLoor),"Irvine, CA   92620",,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:13-7271 Rexford Industrial Portfolio,48000,48000,Bank of America,Ms.,Dee,,Evans,,816-979-5064,816-979-5055,,,,,Ms. Molly Alford,Bank of America,4820 Irvine Boulevard,CA6-523-01-03 (1st FLoor),"Irvine, CA   92620",,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:13-7278 23555 Euclid Avenue Euclid OH,8500,8500,Bank of America,Ms.,Dee,,Evans,,816-979-5064,816-979-5055,,,,,Ms. Molly Alford,Bank of America,4820 Irvine Boulevard,CA6-523-01-03 (1st FLoor),"Irvine, CA   92620",,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:13-7288 Ansley Forest Apartments GA,3900,3900,Bank of America,Ms.,Dee,,Evans,,816-979-5064,816-979-5055,,,,,Ms. Molly Alford,Bank of America,4820 Irvine Boulevard,CA6-523-01-03 (1st FLoor),"Irvine, CA   92620",,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:13-7289 Dunwoody Place Atlanta GA,4100,4100,Bank of America,Ms.,Dee,,Evans,,816-979-5064,816-979-5055,,,,,Ms. Molly Alford,Bank of America,4820 Irvine Boulevard,CA6-523-01-03 (1st FLoor),"Irvine, CA   92620",,,,,,,,,Non,,,,,,,,,,
,Active,Bank of America:13-7306 Bank of America Plaza NashvilleTN,7200,7200,Bank of America,Ms.,Dee,,Evans,,816-979-5064,816-979-5055,,,,,Ms. Molly Alford,Bank of America,4820 Irvine Boulevard,CA6-523-01-03 (1st FLoor),"Irvine, CA   92620",,,,,,,,,Non,,,,,,,,,,
,Active,Bank of the Ozarks,0,0,,,,,,,,,,,,,"Ms. Torri Venson, Appraisal Services",Bank of the Ozarks,17901 Chenal Parkway,"Little Rock, AR 72223",,,,,,,,,,,,,,,,,,,,
,Active,Bank of the West,0,0,,,,,,,,,,,,,"Mr. Bill Landy, MAI",Bank of the West,"1977 Saturn Street, SC-MPK-03-F","Monterey Park, CA 91755-7418",,,,,,,,,,,,,,,,,,,,
,Active,Bank One Corporation,0,0,Bank One Corporation,,,,,,,,,,,,Bank One Corporation,,,,,,,,,,,,,Non,,,,,,,,,,
,Active,Barack Ferrazzano Kirschbaum Perlman & Na,0,0,Barack Ferrazzano Kirschbaum Perlman & Na,Mr.,Marc,M.,Jacobs,Marc M. Jacobs,,,,,,,Barack Ferrazzano Kirschbaum Perlman & Na,Marc M. Jacobs,"333 W. Wacker, Suite 2700","Chicago, Illinois 60606",marc.jacobs@bfkpn.com,,,,,,,,,,,,,,,,,,,
,Active,Bayview Financial Trading Group,0,0,Bayview Financial Trading Group,Mr.,Matt,,Yurkon,Matt Yurkon,305-341-5587,,,,,,Mr. Matt Yurkon,Bayview Financial Trading Group,"2665 S. Bayshore Drive, 3rd Floor","Miami, Florida  33133",,,,,,,,,,Non,,,,,,,,,,
,Active,"Bayview Financial, L.P.",0,0,Bayview Financial,Mr.,Chris,,Travis,Matt Yurkon,305.341.5587,,,,,,"Bayview Financial, L.P.",Chris Travis,Mgr. Commercial Real Estate Valuations,"4425 Ponce de Leon Boulevard, 4th FL","Coral Gables, FL 33146",,,,,,,,,Non,,,,,,,,,,
,Active,"Bayview Financial, L.P.:10-2249 2065-67 W. Jarvis, Chicago, IL",0,0,Bayview Financial,Mr.,Chris,,Travis,Matt Yurkon,305.341.5587,,,,,,"Bayview Financial, L.P.",Chris Travis,Mgr. Commercial Real Estate Valuations,"4425 Ponce de Leon Boulevard, 4th FL","Coral Gables, FL 33146",,,,,,,,,Non,,,,,,,,,,
