,"Active Status","Customer","Balance","Balance Total","Company","Mr./Ms./...","First Name","M.I.","Last Name","Primary Contact","Main Phone","Fax","Alt. Phone","Secondary Contact","Job Title","Main Email","Bill to 1","Bill to 2","Bill to 3","Bill to 4","Bill to 5","Ship to 1","Ship to 2","Ship to 3","Ship to 4","Ship to 5","Customer Type","Terms","Rep","Sales Tax Code","Tax item","Resale Num","Account No.","Credit Limit","Job Status","Job Type","Job Description","Start Date","Projected End","End Date"
,"Active","Alecta Real Estate Atlanta LLC",0.00,0.00,,,,,,,,,,,,,"Alecta Real Estate Atlanta LLC","C/O Carter and Associates","100 Hartsfield Centre Pkwy","Suite 160","Atlanta, GA 30354",,,,,,,,,,,,,"",,,,,,
,"Active","Alliance Bank",0.00,0.00,"Alliance Bank","Mr.","Jeff","A","Berkley","Jeff A Berkley","(785) 271-1800","(785) 271-2111",,,,,"Alliance Bank","Jeff A Berkley","3001 SW Wanamaker Road","Topeka, Kansas 66614",,"Alliance Bank","Jeff A Berkley","3001 SW Wanamaker Road","Topeka, Kansas 66614",,,,,"Non",,,,"",,,,,,
,"Active","Allied District Properties",0.00,0.00,,,,,,,,,,,,,"Mr. Paul Goodman","Allied District Properties","180 N. Stetson Avenue","Suite 3240","Chicago, IL 60601",,,,,,,,,,,,,"",,,,,,
,"Active","Allied Irish Bank",0.00,0.00,"Allied Irish Bank","Mr.","John",,"Hall","John Hall",,,,,,,"Mr. John Hall","Allied Irish Bank","190 South LaSalle Street","Suite 900","Chicago, IL  60603",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Allstate Investments, LLC",0.00,0.00,"Allstate Investments, LLC","Mr.","David","L.","Kocourek, CFA","David L. Kocourek, CFA","847-402-0427","847-402-4346",,,,,"Allstate Investments, LLC","Greg Mitkovetsky","3075 Sanders Road,","G5C Northbrook, IL 60062",,,,,,,,,,"Non",,,,"",,,,,,
,"Active","Altus Group",0.00,0.00,"PricewaterhouseCoopers LLP","Mr.","Michael",,"Yurinich",,,,,,,,"Altus Group","Ms. Jessica Park","Harborside Financial Center","34 Exchange Place - 902 Plaza 2, 9th FL","Jersey City, NJ 07311",,,,,,,,,"Non",,,,"",,,,,,
,"Active","American Appraisal Associates",0.00,0.00,"American Appraisal Associates, Inc.",,,,,,,,,,,,"American Appraisal Associates, Inc.",,,"18881 Von Karman Avenue, Suite 700","Irvine, California 92612","American Appraisal Associates, Inc.",,,"18881 Von Karman Avenue, Suite 700","Irvine, California 92612",,,,"Non",,,,"",,,,,,
,"Active","American Honda Motor Company, Inc.",0.00,0.00,,,,,,,,,,,,,"American Honda Motor Company, Inc.","c/o Mr. Jay Briscione","The Meers Group, Ltd","37 Beach Road","Monmouth Beach, NJ 07750",,,,,,,,,,,,,"",,,,,,
,"Active","American Realty Advisors",0.00,29925.00,,,,,,,,,,,,,,"801 North Brand Boulevard","Suite 800","Glendale, CA 91203",,,,,,,,,,,,,,"",,,,,,
,"Active","American Realty Advisors:13-6796M1 9190 Miramar Activity Road CA",4750.00,4750.00,,,,,,,,,,,,,,"801 North Brand Boulevard","Suite 800","Glendale, CA 91203",,,,,,,,,,,,,,"",,,,,,
,"Active","American Realty Advisors:13-6797M1 Broadway Center BP Gardena CA",3800.00,3800.00,,,,,,,,,,,,,,"801 North Brand Boulevard","Suite 800","Glendale, CA 91203",,,,,,,,,,,,,,"",,,,,,
,"Active","American Realty Advisors:13-6798M1 2999 Oak Road Walnut Creek CA",5700.00,5700.00,,,,,,,,,,,,,,"801 North Brand Boulevard","Suite 800","Glendale, CA 91203",,,,,,,,,,,,,,"",,,,,,
,"Active","American Realty Advisors:13-6800M1 Citibank Office Plaza Oak Brook",5700.00,5700.00,,,,,,,,,,,,,,"801 North Brand Boulevard","Suite 800","Glendale, CA 91203",,,,,,,,,,,,,,"",,,,,,
,"Active","American Realty Advisors:13-6802M1 Admiral Safeway Seattle WA",5225.00,5225.00,,,,,,,,,,,,,,"801 North Brand Boulevard","Suite 800","Glendale, CA 91203",,,,,,,,,,,,,,"",,,,,,
,"Active","American Realty Advisors:13-7592M1 Mission Hills Von San Diego CA",4750.00,4750.00,,,,,,,,,,,,,,"801 North Brand Boulevard","Suite 800","Glendale, CA 91203",,,,,,,,,,,,,,"",,,,,,
,"Active","AmeriSphere",0.00,0.00,,,,,,,,,,,,,"AmeriSphere","4890 Alpha Road","Suite 110","Dallas, TX 75244-4639","Beverlie Warling - Loan Processer",,,,,,,,,,,,,"",,,,,,
,"Active","Anglo Irish Boston CorporationD",0.00,0.00,"Anglo Irish Boston CorporationD","Mr.","Paul",,"Davis","Paul Davis",,,,,,,"Mr. Paul Davis","VP - Commercial Real Estate Banking","Anglo Irish Boston CorporationD","265 Franklin St., 19th Floor","Boston, MA  02110",,,,,,,,,,,,,"",,,,,,
,"Active","Archetype Mortgage Capital",0.00,0.00,,,,,,,,,,,,,"Lyndsay Stephenson","Archetype Mortgage Capital","1114 Avenue of the Americas","38th Floor","New York, NY 10036",,,,,,,,,,,,,"",,,,,,
,"Active","Archetype Mortgage Capital:12-6322 Lapour Corporate Center Las Vegas",0.00,0.00,,,,,,,,,,,,,"Lyndsay Stephenson","Archetype Mortgage Capital","1114 Avenue of the Americas","38th Floor","New York, NY 10036",,,,,,,,,,,,,"",,,,,,
,"Active","Archon  Financial",0.00,0.00,"Archon Financial","Mr.","John",,"Graham","John Graham","972-501-3974","972-830-7698",,,,,"Mr. John Graham","Archon Financial","600 E. Las Colinas Blvd., Suite 450","Irving, Texas  75039",,,,,,,,,,"Non",,,,"",,,,,,
,"Active","Archon Group, LP",0.00,0.00,,,,,,,,,,,,,"Doug Prickett, MAI, CCIM","Archon Group, LP","6011 Connection Drive","Irving, TX 75039",,,,,,,,,,,,,,"",,,,,,
,"Active","Arnold & Kadjan",0.00,0.00,"Arnold & Kadjan","Mr.","Hugh",,"Arnold","Hugh Arnold",,,,,,,"Mr. Hugh Arnold","c/o Arnold & Kadjan","19 West Jackson Blvd.,","Chicago, IL  60604",,,,,,,,,,,,,,"",,,,,,
,"Active","Aronson And Associates Ltd.",0.00,0.00,"Aronson and Associates Ltd.","Mr.","Brian","F.","Aronson","Brian F. Aronson","847-537-9140",,,,,,"Mr. Brian F. Aronson, MAI","Aronson and Associates Ltd.","1020 N. Milwaukee Ave., Suite 300B","Deerfield, IL  60015",,,,,,,,,,"Non",,,,"",,,,,,
,"Active","Arthur Lloyd LLC",0.00,0.00,,,,,,,,,,,,,"Jeff Hutton","120 Oxford Court","Suite 100","Austin, TX 78737",,,,,,,,,,,,,,"",,,,,,
,"Active","ASB Capital Management",0.00,12500.00,,,,,,,,,,,,,"ASB Capital Management","7501 Wisconsin Avenue","Suite 1300 West","Bethesda, MD 20814",,,,,,,,,,,,,,"",,,,,,
,"Active","ASB Capital Management:13-7232M1 Venice Portfolio Venice CA",8000.00,8000.00,,,,,,,,,,,,,"ASB Capital Management","7501 Wisconsin Avenue","Suite 1300 West","Bethesda, MD 20814",,,,,,,,,,,,,,"",,,,,,
,"Active","ASB Capital Management:13-7233M1 Robertson Boulevard LA CA",4500.00,4500.00,,,,,,,,,,,,,"ASB Capital Management","7501 Wisconsin Avenue","Suite 1300 West","Bethesda, MD 20814",,,,,,,,,,,,,,"",,,,,,
,"Active","ASB Capital Management LLC",0.00,0.00,,,,,,,,,,,,,"Aaron Duncan - Investment Mgr.","ASB Capital Management LLC","7501 Wisconsin Avenue","Suite 200","Bethesda, MD 20814",,,,,,,,,,,,,"",,,,,,
,"Active","Aspen Square Management",0.00,0.00,,,,,,,,,,,,,"Mr. Fred Anthony - Vice President","Aspen Square Management","380 Union Street, Ste. 300","West Springfield, MA 01089",,,,,,,,,,,,,,"",,,,,,
,"Active","Aspen Square Management:11-4347 Lakeview Estates Phase I",0.00,0.00,,,,,,,,,,,,,"Mr. Fred Anthony - Vice President","Aspen Square Management","380 Union Street, Ste. 300","West Springfield, MA 01089",,,,,,,,,,,,,,"",,,,,,
,"Active","Assurant Inc.",0.00,0.00,"Assurant Inc.","Mr.","Ryan",,"Steppe","Ryan Steppe","212-859-7066",,,,,,"Mr. Ryan Steppe","Assurant Inc.","One Chase Manhattan Plaza","New York, NY  10005",,,,,,,,,,,,,,"",,,,,,
,"Active","AT&T Investment Management Corp.",0.00,6000.00,"AT&T Investment Management Corp.","Mr.","Avneet","S.","Kochar","Avneet S. Kochar",,,,,,,"Mr. Steve Burger","AT&T Investment Management Corp.","1 AT&T Way Room 3D107","Bedminster, New Jersey 07921",,"Mail invoices to","Ms. Kate Wolf / PwC",,,,,,,,,,,"",,,,,,
,"Active","AT&T Investment Management Corp.:13-7622M1 Rossmor Shopping Center CA",6000.00,6000.00,"AT&T Investment Management Corp.","Mr.","Avneet","S.","Kochar",,,,,,,,"Mr. Steve Burger","AT&T Investment Management Corp.","1 AT&T Way Room 3D107","Bedminster, New Jersey 07921",,,,,,,,,,,,,,"",,,,,,
,"Active","Atlantic Coast Bank",0.00,0.00,"Atlantic Coast Bank",,,,,,,,,,,,"Atlantic Coast Bank","Attn: Luciano Noir-Jones","10151 Deerwood Park Blvd.,","Bldg. 100, Suite 501","Jacksonville, FL  32256",,,,,,,,,,,,,"",,,,,,
,"Active","Atlas Partners",0.00,0.00,"Atlas Partners","Mr.","Roger","F","Ruttenberg","Roger F Ruttenberg","312.516.5700","312.516.5710",,,,,"Atlas Partners","Roger F Ruttenberg","55 East Monroe Street","Suite 1890","Chicago, Illinois 60603","Atlas Partners","Roger F Ruttenberg","55 East Monroe Street","Suite 1890","Chicago, Illinois 60603",,,,"Non",,,,"",,,,,,
,"Active","Babson Capital Management LLC",0.00,0.00,"Babson Capital Management LLC","Ms.","Diane","M.","Norton, MAI","Diane M. Norton, MAI",,,,,,,"Babson Capital","Diane M. Norton, MAI","1500 Main Street, Suite 2100","Springfield, MA  01115",,,,,,,,,,"Non",,,,"",,,,,,
,"Active","Baker Donelson Bearman Caldwell & Berkowi",0.00,0.00,,,,,,,,,,,,,"Mr. Kevin Stine","Baker Donelson Bearman Caldwell &","          Berkowitz, P.C.","On behalf of our Client Wells Fargo; 3414","Peachtree Rd., Suite 1600 Atlanta GA",,,,,,,,,,,,,"",,,,,,
,"Active","Bank of America",0.00,196300.00,"Bank of America","Ms.","Dee",,"Evans","Dee Evans","816-979-5064","816-979-5055",,,,,"Susan Sullivan, Market Manager","Bank of America","5150","CA5-123-01-01","San Francisco, CA  94112",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:05-1573 Hollywood Citizens News Bldg - CA",0.00,0.00,"Bank of America","Ms.","Dee",,"Evans","Dee Evans","816-979-5064","816-979-5055",,,,,"Mr. Bryan Vick","Bank of America, N.A.","333 S. Hope St., 19th Floor","CA9-193-19-11","Los Angeles, CA 90071",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:08-0590 GX Slauson, Los Angeles, CA",0.00,0.00,"Bank of America","Ms.","Dee",,"Evans","Dee Evans","816-979-5064","816-979-5055",,,,,"Mr. Bryan Vick","Bank of America, N.A.","333 S. Hope Street","CA9-193-11-13 (11th FLoor)","Los Angeles, CA 90071",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:10-2456A Apartment Site",0.00,0.00,"Bank of America","Ms.","Dee",,"Evans","Dee Evans","816-979-5064","816-979-5055",,,,,"Bank of America, N.A.","c/o Snell & Wilmer L.L.P.","600 Anton Boulevard, Suite 1400","Costa Mesa, CA 92626","Attn: Gregory M. Carpenter",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:10-2456B Hubbs Site",0.00,0.00,"Bank of America","Ms.","Dee",,"Evans","Dee Evans","816-979-5064","816-979-5055",,,,,"Bank of America, N.A.","c/o Snell & Wilmer L.L.P.","600 Anton Boulevard, Suite 1400","Costa Mesa, CA 92626","Attn: Gregory M. Carpenter",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:10-2456C Office site - Lot 11",0.00,0.00,"Bank of America","Ms.","Dee",,"Evans","Dee Evans","816-979-5064","816-979-5055",,,,,"Bank of America, N.A.","c/o Snell & Wilmer L.L.P.","600 Anton Boulevard, Suite 1400","Costa Mesa, CA 92626","Attn: Gregory M. Carpenter",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:10-2456D Lot 20",0.00,0.00,"Bank of America","Ms.","Dee",,"Evans","Dee Evans","816-979-5064","816-979-5055",,,,,"Bank of America, N.A.","c/o Snell & Wilmer L.L.P.","600 Anton Boulevard, Suite 1400","Costa Mesa, CA 92626","Attn: Gregory M. Carpenter",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:10-2456E Commercial Site -PA1",0.00,0.00,"Bank of America","Ms.","Dee",,"Evans","Dee Evans","816-979-5064","816-979-5055",,,,,"Bank of America, N.A.","c/o Snell & Wilmer L.L.P.","600 Anton Boulevard, Suite 1400","Costa Mesa, CA 92626","Attn: Gregory M. Carpenter",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:10-2456F Morger Site",0.00,0.00,"Bank of America","Ms.","Dee",,"Evans","Dee Evans","816-979-5064","816-979-5055",,,,,"Bank of America, N.A.","c/o Snell & Wilmer L.L.P.","600 Anton Boulevard, Suite 1400","Costa Mesa, CA 92626","Attn: Gregory M. Carpenter",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:10-2457 Golf Course",0.00,0.00,"Bank of America","Ms.","Dee",,"Evans","Dee Evans","816-979-5064","816-979-5055",,,,,"Bank of America, N.A.","c/o Snell & Wilmer L.L.P.","600 Anton Boulevard, Suite 1400","Costa Mesa, CA 92626","Attn: Gregory M. Carpenter",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:10-2458 Hotel Pad - Lot 9",0.00,0.00,"Bank of America","Ms.","Dee",,"Evans","Dee Evans","816-979-5064","816-979-5055",,,,,"Bank of America, N.A.","c/o Snell & Wilmer L.L.P.","600 Anton Boulevard, Suite 1400","Costa Mesa, CA 92626","Attn: Gregory M. Carpenter",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:12-5552 45600 Fremont Blvd Fremont CA",0.00,0.00,"Bank of America","Ms.","Dee",,"Evans","Dee Evans","816-979-5064","816-979-5055",,,,,"Susan Sullivan, Market Manager","Bank of America, NA","5150 Mission Street","CA5-123-01-01","San Francisco, CA 94112-3463",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:13-7569 Goleta Retail CA",1500.00,1500.00,"Bank of America","Ms.","Dee",,"Evans",,"816-979-5064","816-979-5055",,,,,"Ms. Molly Alford","Bank of America","4820 Irvine Boulevard","CA6-523-01-03 (1st FLoor)","Irvine, CA   92620",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:13-7705 Park South H Walton KY",4500.00,4500.00,"Bank of America","Ms.","Dee",,"Evans",,"816-979-5064","816-979-5055",,,,,"Susan Sullivan, Market Manager","Bank of America","5150","CA5-123-01-01","San Francisco, CA  94112",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:13-7738 100 Plaza Drive Secaucus NJ",6400.00,6400.00,"Bank of America","Ms.","Dee",,"Evans",,"816-979-5064","816-979-5055",,,,,"Susan Sullivan, Market Manager","Bank of America","5150","CA5-123-01-01","San Francisco, CA  94112",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:13-7751 11251 Hemlock Ave",7000.00,7000.00,"Bank of America","Ms.","Dee",,"Evans",,"816-979-5064","816-979-5055",,,,,"Susan Sullivan, Market Manager","Bank of America","5150","CA5-123-01-01","San Francisco, CA  94112",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:13-7771 Universal Packaging Systems, Inc.",9500.00,9500.00,"Bank of America","Ms.","Dee",,"Evans",,"816-979-5064","816-979-5055",,,,,"Susan Sullivan, Market Manager","Bank of America","5150","CA5-123-01-01","San Francisco, CA  94112",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:13-7793 New Jersey Center for Excellence",13500.00,13500.00,"Bank of America","Ms.","Dee",,"Evans",,"816-979-5064","816-979-5055",,,,,"Susan Sullivan, Market Manager","Bank of America","5150","CA5-123-01-01","San Francisco, CA  94112",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:13-7795 Portfolio 13-009325-APR01-001",15400.00,15400.00,"Bank of America","Ms.","Dee",,"Evans",,"816-979-5064","816-979-5055",,,,,"Susan Sullivan, Market Manager","Bank of America","5150","CA5-123-01-01","San Francisco, CA  94112",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:13-7802 10 20 30 & 35 Corporate Drive MA",7200.00,7200.00,"Bank of America","Ms.","Dee",,"Evans",,"816-979-5064","816-979-5055",,,,,"Beth Osiason, Vice President","Bank of America - FL","100 N Westshore Blvd.","FL2-399-02-05","Tampa, FL 33609",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:13-7832 1000 W. Fulton Market Chicago IL",15000.00,15000.00,"Bank of America","Ms.","Dee",,"Evans",,"816-979-5064","816-979-5055",,,,,"Susan Sullivan, Market Manager","Bank of America","5150","CA5-123-01-01","San Francisco, CA  94112",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:13-7846 1280 Bison Ave Newport Beach CA",7500.00,7500.00,"Bank of America","Ms.","Dee",,"Evans",,"816-979-5064","816-979-5055",,,,,"Susan Sullivan, Market Manager","Bank of America","5150","CA5-123-01-01","San Francisco, CA  94112",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:13-7857 West side of Vision Street Irvine",9000.00,9000.00,"Bank of America","Ms.","Dee",,"Evans",,"816-979-5064","816-979-5055",,,,,"Susan Sullivan, Market Manager","Bank of America","5150","CA5-123-01-01","San Francisco, CA  94112",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:13-7872 Dick's Sporting Goods",19500.00,19500.00,"Bank of America","Ms.","Dee",,"Evans",,"816-979-5064","816-979-5055",,,,,"Susan Sullivan, Market Manager","Bank of America","5150","CA5-123-01-01","San Francisco, CA  94112",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:13-7888 100 Electric Avenue aka 100 Sinva",4900.00,4900.00,"Bank of America","Ms.","Dee",,"Evans",,"816-979-5064","816-979-5055",,,,,"Susan Sullivan, Market Manager","Bank of America","5150","CA5-123-01-01","San Francisco, CA  94112",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:13-7906 KTR Portfolio",65500.00,65500.00,"Bank of America","Ms.","Dee",,"Evans",,"816-979-5064","816-979-5055",,,,,"Susan Sullivan, Market Manager","Bank of America, NA","5150 Mission Street","CA5-123-01-01","San Francisco, CA  94112",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of America:13-8036 Broad Creek",9900.00,9900.00,"Bank of America","Ms.","Dee",,"Evans",,"816-979-5064","816-979-5055",,,,,"Susan Sullivan, Market Manager","Bank of America","5150","CA5-123-01-01","San Francisco, CA  94112",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bank of the Ozarks",0.00,0.00,,,,,,,,,,,,,"Ms. Torri Venson, Appraisal Services","Bank of the Ozarks","17901 Chenal Parkway","Little Rock, AR 72223",,,,,,,,,,,,,,"",,,,,,
,"Active","Bank of the West",0.00,0.00,,,,,,,,,,,,,"Mr. Bill Landy, MAI","Bank of the West","1977 Saturn Street, SC-MPK-03-F","Monterey Park, CA 91755-7418",,,,,,,,,,,,,,"",,,,,,
,"Active","Bank One Corporation",0.00,0.00,"Bank One Corporation",,,,,,,,,,,,"Bank One Corporation",,,,,,,,,,,,,"Non",,,,"",,,,,,
,"Active","Barack Ferrazzano Kirschbaum Perlman & Na",0.00,0.00,"Barack Ferrazzano Kirschbaum Perlman & Na","Mr.","Marc","M.","Jacobs","Marc M. Jacobs",,,,,,,"Barack Ferrazzano Kirschbaum Perlman & Na","Marc M. Jacobs","333 W. Wacker, Suite 2700","Chicago, Illinois 60606","marc.jacobs@bfkpn.com",,,,,,,,,,,,,"",,,,,,
,"Active","Bayview Financial Trading Group",0.00,0.00,"Bayview Financial Trading Group","Mr.","Matt",,"Yurkon","Matt Yurkon","305-341-5587",,,,,,"Mr. Matt Yurkon","Bayview Financial Trading Group","2665 S. Bayshore Drive, 3rd Floor","Miami, Florida  33133",,,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bayview Financial, L.P.",0.00,0.00,"Bayview Financial","Mr.","Chris",,"Travis","Matt Yurkon","305.341.5587",,,,,,"Bayview Financial, L.P.","Chris Travis","Mgr. Commercial Real Estate Valuations","4425 Ponce de Leon Boulevard, 4th FL","Coral Gables, FL 33146",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bayview Financial, L.P.:10-2249 2065-67 W. Jarvis, Chicago, IL",0.00,0.00,"Bayview Financial","Mr.","Chris",,"Travis","Matt Yurkon","305.341.5587",,,,,,"Bayview Financial, L.P.","Chris Travis","Mgr. Commercial Real Estate Valuations","4425 Ponce de Leon Boulevard, 4th FL","Coral Gables, FL 33146",,,,,,,,,"Non",,,,"",,,,,,
,"Active","Bear Stearns",0.00,0.00,"Bear Stearns Commercial Mortgage Inc.","Mr.","David",,"Spies","David Spies","212-272-2000",,,,,,"Mr. David Spies","Bear Stearns Commercial Mortgage Inc.","383 Madison Avenue","New York, NY  10179",,,,,,,,,,"Non",,,,"",,,,,,
,"Active","Beermann Swerdlove LLP",0.00,0.00,,,,,,,,,,,,,"Mr. Howard C. Emmerman","Beermann Swerdlove LLP","161 N. Clark Street","Suite 2600","Chicago, IL 60601",,,,,,,,,,,,,"",,,,,,
,"Active","Bentall Kennedy",0.00,0.00,,,,,,,,,,,,,"Mr. Bruce Tuesley, CCIM","Vice President, Asset Management","Bentall Kennedy","1215 4th Avenue, Suite 2400","Seattle, WA 98161",,,,,,,,,,,,,"",,,,,,
,"Active","Berkadia Commercial Mortgage LLC",0.00,0.00,,,,,,,,,,,,,"Ms. Kim Betzing","Assistant Vice President","Berkadia Commercial Mortgage LLC","101 SW Main Street - Suite 1600","Portland, OR 97204",,,,,,,,,,,,,"",,,,,,
,"Active","Berntsein,Fox,Whitman,Goldman & Sloan LLP",0.00,0.00,"Berntsein,Fox,Whitman,Goldman & Sloan LLP","Mr.","Kenneth","L.","Goldman","Kenneth L. Goldman",,,,,,,"Mr. Kenneth L. Goldman, C.P.A.","Berntsein,Fox,Whitman,Goldman&Sloan LLP","2029 Century Park East","Suite 500","Los Angeles, CA  90067",,,,,,,,,,,,,"",,,,,,
